H,V,Date
-1.3400,-0.5950,24/01/2025 00:00
-1.3400,-0.5950,28/01/2025 17:06
-1.3400,-0.5600,30/01/2025 18:12
-1.3400,-0.5800,03/02/2025 15:11
-1.3400,-0.5830,03/02/2025 15:33
-1.3400,-0.5820,06/02/2025 11:10
-1.3400,-0.5800,06/02/2025 11:40
-1.3400,-0.5910,10/02/2025 11:24
-1.3400,-0.5970,12/02/2025 13:52
-1.3400,-0.5970,18/02/2025 13:52
-1.3400,-0.6000,18/02/2025 16:06
-1.3400,-0.6030,20/02/2025 18:08
-1.3400,-0.6050,25/02/2025 14:39
-1.3400,-0.6070,25/02/2025 14:40
-1.3400,-0.6160,26/02/2025 11:59
-1.3400,-0.6210,04/03/2025 14:10
-1.3400,-0.6190,06/03/2025 10:26
-1.3400,-0.6230,07/03/2025 14:48
-1.3400,-0.6280,13/03/2025 15:38
-1.3400,-0.6350,17/03/2025 11:05
-1.3400,-0.6490,18/03/2025 13:15
-1.4500,-0.6560,20/03/2025 11:08
-1.4500,-0.6570,24/03/2025 16:34
-1.4500,-0.6570,25/03/2025 13:59
-1.4500,-0.6650,28/03/2025 16:51
-1.4500,-0.6650,30/03/2025 16:07
-1.4500,-0.6640,31/03/2025 16:27
-1.4500,-0.6640,31/03/2025 18:04
-1.4500,-0.6670,02/04/2025 16:56
-1.4500,-0.6500,04/04/2025 11:24
-1.4500,-0.6470,14/04/2025 11:08
-1.4500,-0.6450,16/04/2025 10:12
-1.4500,-0.6450,23/04/2025 10:02
-1.4500,-0.6760,30/04/2025 11:13
-1.4500,-0.6700,01/05/2025 10:08
-1.4500,-0.6510,06/05/2025 14:29
-1.4500,-0.6810,12/05/2025 17:36
-1.4500,-0.6910,14/05/2025 14:11
-1.4500,-0.6780,15/05/2025 10:09
-1.4500,-0.6850,16/05/2025 11:54
-1.4500,-0.6930,03/06/2025 16:41
-1.4500,-0.6900,09/06/2025 11:49
-1.4500,-0.7000,10/06/2025 16:46
-1.4500,-0.7180,16/06/2025 13:53
-1.4500,-0.7270,18/06/2025 14:42
-1.4500,-0.7310,19/06/2025 15:50
-1.4500,-0.7380,19/06/2025 16:33
-1.4500,-0.7300,23/06/2025 12:59
-1.4500,-0.7310,24/06/2025 17:11
-1.4500,-0.7430,2025-07-01 16:36:20
-1.4500,-0.7680,2025-07-16 17:43:58
-1.4500,-0.7390,2025-07-29 15:09:45
-1.4500,-0.7430,2025-08-04 17:27:53
-1.4500,-0.7480,2025-08-12 09:52:09
-1.4500,-0.7410,2025-08-13 22:08:59
-1.4500,-0.7440,2025-08-18 11:39:58
-1.4500,-0.7500,2025-08-20 10:46:12
-1.4500,-0.7410,2025-08-27 11:39:48
-1.4500,-0.7370,2025-09-01 16:52:20
-1.4500,-0.7410,2025-09-02 09:00:03
-1.4500,-0.7400,2025-09-05 09:51:19
-1.4500,-0.7430,2025-09-10 16:33:10
-1.4500,-0.7430,2025-09-15 09:16:20
-1.4500,-0.7390,2025-09-15 14:42:36
-1.4500,-0.7400,2025-09-18 09:59:21
-1.4500,-0.7370,2025-09-18 16:35:57
-1.4500,-0.7430,2025-09-18 16:59:23
-1.4500,-0.7420,2025-09-22 11:47:26
-1.4500,-0.7390,2025-09-22 14:16:44
-1.4500,-0.7400,2025-09-24 12:40:41
-1.4500,-0.7410,2025-09-30 08:56:22
-1.4500,-0.7440,2025-10-01 20:04:55
-1.4500,-0.7430,2025-10-03 09:12:49
-1.4500,-0.7470,2025-10-06 15:23:02
-1.4500,-0.7430,2025-10-15 11:44:27
-1.4500,-0.7430,2025-10-21 13:25:50
-1.4250,-0.7400,2025-10-21 18:29:58
-1.4500,-0.7160,2025-11-21 12:03:23
-1.4500,-0.7220,2025-11-21 18:03:10
-1.4500,-0.7300,2025-11-25 13:34:48
-1.4500,-0.7500,2025-12-16 11:21:50
-1.4500,-0.7445,2025-12-16 12:45:36
-1.4500,-0.7445,2025-12-16 12:46:10
-1.4400,-0.7490,2025-12-16 12:55:44
-1.4500,-0.7435,2025-12-16 13:09:44
-1.4300,-0.7455,2025-12-16 13:10:49
-1.4100,-0.7220,2025-12-17 17:28:03
-1.4100,-0.7290,2025-12-17 20:44:37
-1.3000,-0.7250,2025-12-18 18:03:46
-1.3210,-0.7380,2025-12-19 16:28:11
-1.4140,-0.7202,2025-12-19 20:06:56
-1.4001,-0.7520,2026-01-13 17:35:06
-1.4000,-0.7525,2026-01-14 13:34:08
-1.4000,-0.7500,2026-01-16 16:58:37
-1.4000,-0.7545,2026-01-27 19:01:28
-1.4000,-0.7545,2026-01-27 19:01:29
-1.4000,-0.7520,2026-01-28 13:08:16
-1.3750,-0.7550,2026-01-28 13:33:52
-1.3750,-0.7500,2026-01-29 10:28:55
-1.3750,-0.7500,2026-01-29 10:28:56
-1.3740,-0.7560,2026-02-02 19:07:13
-1.3740,-0.7565,2026-02-06 17:54:48
-1.3750,-0.7595,2026-02-15 13:47:51
-1.3800,-0.7540,2026-02-16 11:27:20
-1.3800,-0.7585,2026-02-17 14:05:10
-1.3800,-0.7585,2026-02-17 14:05:13
-1.3800,-0.7625,2026-02-19 18:10:40
-1.3800,-0.7570,2026-02-20 12:51:47
-1.3800,-0.7540,2026-02-23 10:48:36
-1.3800,-0.7400,2026-02-26 15:42:29
-1.3800,-0.7600,2026-02-26 17:25:58
